Optimization Data
 
Start time: 2026-05-20 11:34:36 
 
Solver Options:
Method: Self-Written-slp_mvp 
# algorithm: merit 
# acc: 0.001 
# xtol: 0.001 
# gtol: 0.001 
# finite_diff_abs_step: [2.0207, 0.761, 0.761, 0.761, 0.761, 0.761, 0.03, 0.03, 0.03, 0.03, 0.03, 0.269, 0.269, 0.269, 0.269, 0.269, 0.023, 0.023, 0.023, 0.023, 0.023, 0.269, 0.269, 0.269, 0.269, 0.269, 0.023, 0.023, 0.023, 0.023, 0.023] 
# maxiter: 1000 
# max_fun_evals: 1000 
# Aggregate: None 
# p_value: 8 
# rho_value: 100 
# relaxation: 0 
# move_limit: 0.3 
# move_limit_expand: 1.1 
# move_limit_shrink: 0.5 
# penalty_weight: 0.1 
# max_infeasibility: inf 
Design Variables and Bounds 
# x0 = [202.07, 76.10, 76.10, 76.10, 76.10, 76.10, 3.00, 3.00, 3.00, 3.00, 3.00, 26.90, 26.90, 26.90, 26.90, 26.90, 2.30, 2.30, 2.30, 2.30, 2.30, 26.90, 26.90, 26.90, 26.90, 26.90, 2.30, 2.30, 2.30, 2.30, 2.30]
 x[0] (rad) bounds = [150.0, 350.0] 
 x[1] (d0_1) bounds = [48.3, 114.3] 
 x[2] (d0_2) bounds = [48.3, 114.3] 
 x[3] (d0_3) bounds = [48.3, 114.3] 
 x[4] (d0_4) bounds = [48.3, 114.3] 
 x[5] (d0_5) bounds = [48.3, 114.3] 
 x[6] (t0_1) bounds = [2.5, 5.0] 
 x[7] (t0_2) bounds = [2.5, 5.0] 
 x[8] (t0_3) bounds = [2.5, 5.0] 
 x[9] (t0_4) bounds = [2.5, 5.0] 
 x[10] (t0_5) bounds = [2.5, 5.0] 
 x[11] (d1_h_1) bounds = [10, 50.0] 
 x[12] (d1_h_2) bounds = [10, 50.0] 
 x[13] (d1_h_3) bounds = [10, 50.0] 
 x[14] (d1_h_4) bounds = [10, 50.0] 
 x[15] (d1_h_5) bounds = [10, 50.0] 
 x[16] (t1_h_1) bounds = [1.0, 4.0] 
 x[17] (t1_h_2) bounds = [1.0, 4.0] 
 x[18] (t1_h_3) bounds = [1.0, 4.0] 
 x[19] (t1_h_4) bounds = [1.0, 4.0] 
 x[20] (t1_h_5) bounds = [1.0, 4.0] 
 x[21] (d1_c_1) bounds = [10, 50.0] 
 x[22] (d1_c_2) bounds = [10, 50.0] 
 x[23] (d1_c_3) bounds = [10, 50.0] 
 x[24] (d1_c_4) bounds = [10, 50.0] 
 x[25] (d1_c_5) bounds = [10, 50.0] 
 x[26] (t1_c_1) bounds = [1.0, 4.0] 
 x[27] (t1_c_2) bounds = [1.0, 4.0] 
 x[28] (t1_c_3) bounds = [1.0, 4.0] 
 x[29] (t1_c_4) bounds = [1.0, 4.0] 
 x[30] (t1_c_5) bounds = [1.0, 4.0] 


iteration,eval_index,objective,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,g_max,v_agg,c_val,seg_mass1,seg_mass2,seg_mass3,seg_mass4,seg_mass5
0, 1, 106.79, 202.07 ,76.10 ,76.10 ,76.10 ,76.10 ,76.10 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,26.90 ,26.90 ,26.90 ,26.90 ,26.90 ,2.30 ,2.30 ,2.30 ,2.30 ,2.30 ,26.90 ,26.90 ,26.90 ,26.90 ,26.90 ,2.30 ,2.30 ,2.30 ,2.30 ,2.30, NA, NA, NA, 21.359,21.326,21.326,21.326,21.785
1, 2, 107.12, 204.09 ,76.10 ,76.10 ,76.10 ,76.10 ,76.10 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,26.90 ,26.90 ,26.90 ,26.90 ,26.90 ,2.30 ,2.30 ,2.30 ,2.30 ,2.30 ,26.90 ,26.90 ,26.90 ,26.90 ,26.90 ,2.30 ,2.30 ,2.30 ,2.30 ,2.30, NA, NA, NA, 21.425,21.393,21.393,21.393,21.851
1, 3, 106.92, 202.07 ,76.86 ,76.10 ,76.10 ,76.10 ,76.10 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,26.90 ,26.90 ,26.90 ,26.90 ,26.90 ,2.30 ,2.30 ,2.30 ,2.30 ,2.30 ,26.90 ,26.90 ,26.90 ,26.90 ,26.90 ,2.30 ,2.30 ,2.30 ,2.30 ,2.30, NA, NA, NA, 21.496,21.326,21.326,21.326,21.785
1, 4, 106.92, 202.07 ,76.10 ,76.86 ,76.10 ,76.10 ,76.10 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,26.90 ,26.90 ,26.90 ,26.90 ,26.90 ,2.30 ,2.30 ,2.30 ,2.30 ,2.30 ,26.90 ,26.90 ,26.90 ,26.90 ,26.90 ,2.30 ,2.30 ,2.30 ,2.30 ,2.30, NA, NA, NA, 21.359,21.463,21.326,21.326,21.785
1, 5, 106.92, 202.07 ,76.10 ,76.10 ,76.86 ,76.10 ,76.10 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,26.90 ,26.90 ,26.90 ,26.90 ,26.90 ,2.30 ,2.30 ,2.30 ,2.30 ,2.30 ,26.90 ,26.90 ,26.90 ,26.90 ,26.90 ,2.30 ,2.30 ,2.30 ,2.30 ,2.30, NA, NA, NA, 21.359,21.326,21.463,21.326,21.785
1, 6, 106.92, 202.07 ,76.10 ,76.10 ,76.10 ,76.86 ,76.10 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,26.90 ,26.90 ,26.90 ,26.90 ,26.90 ,2.30 ,2.30 ,2.30 ,2.30 ,2.30 ,26.90 ,26.90 ,26.90 ,26.90 ,26.90 ,2.30 ,2.30 ,2.30 ,2.30 ,2.30, NA, NA, NA, 21.359,21.326,21.326,21.463,21.785
1, 7, 106.93, 202.07 ,76.10 ,76.10 ,76.10 ,76.10 ,76.86 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,26.90 ,26.90 ,26.90 ,26.90 ,26.90 ,2.30 ,2.30 ,2.30 ,2.30 ,2.30 ,26.90 ,26.90 ,26.90 ,26.90 ,26.90 ,2.30 ,2.30 ,2.30 ,2.30 ,2.30, NA, NA, NA, 21.359,21.326,21.326,21.326,21.926
1, 8, 106.91, 202.07 ,76.10 ,76.10 ,76.10 ,76.10 ,76.10 ,3.03 ,3.00 ,3.00 ,3.00 ,3.00 ,26.90 ,26.90 ,26.90 ,26.90 ,26.90 ,2.30 ,2.30 ,2.30 ,2.30 ,2.30 ,26.90 ,26.90 ,26.90 ,26.90 ,26.90 ,2.30 ,2.30 ,2.30 ,2.30 ,2.30, NA, NA, NA, 21.485,21.326,21.326,21.326,21.785
1, 9, 106.91, 202.07 ,76.10 ,76.10 ,76.10 ,76.10 ,76.10 ,3.00 ,3.03 ,3.00 ,3.00 ,3.00 ,26.90 ,26.90 ,26.90 ,26.90 ,26.90 ,2.30 ,2.30 ,2.30 ,2.30 ,2.30 ,26.90 ,26.90 ,26.90 ,26.90 ,26.90 ,2.30 ,2.30 ,2.30 ,2.30 ,2.30, NA, NA, NA, 21.359,21.452,21.326,21.326,21.785
1, 10, 106.91, 202.07 ,76.10 ,76.10 ,76.10 ,76.10 ,76.10 ,3.00 ,3.00 ,3.03 ,3.00 ,3.00 ,26.90 ,26.90 ,26.90 ,26.90 ,26.90 ,2.30 ,2.30 ,2.30 ,2.30 ,2.30 ,26.90 ,26.90 ,26.90 ,26.90 ,26.90 ,2.30 ,2.30 ,2.30 ,2.30 ,2.30, NA, NA, NA, 21.359,21.326,21.452,21.326,21.785
1, 11, 106.91, 202.07 ,76.10 ,76.10 ,76.10 ,76.10 ,76.10 ,3.00 ,3.00 ,3.00 ,3.03 ,3.00 ,26.90 ,26.90 ,26.90 ,26.90 ,26.90 ,2.30 ,2.30 ,2.30 ,2.30 ,2.30 ,26.90 ,26.90 ,26.90 ,26.90 ,26.90 ,2.30 ,2.30 ,2.30 ,2.30 ,2.30, NA, NA, NA, 21.359,21.326,21.326,21.452,21.785
1, 12, 106.91, 202.07 ,76.10 ,76.10 ,76.10 ,76.10 ,76.10 ,3.00 ,3.00 ,3.00 ,3.00 ,3.03 ,26.90 ,26.90 ,26.90 ,26.90 ,26.90 ,2.30 ,2.30 ,2.30 ,2.30 ,2.30 ,26.90 ,26.90 ,26.90 ,26.90 ,26.90 ,2.30 ,2.30 ,2.30 ,2.30 ,2.30, NA, NA, NA, 21.359,21.326,21.326,21.326,21.915
1, 13, 106.84, 202.07 ,76.10 ,76.10 ,76.10 ,76.10 ,76.10 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,27.17 ,26.90 ,26.90 ,26.90 ,26.90 ,2.30 ,2.30 ,2.30 ,2.30 ,2.30 ,26.90 ,26.90 ,26.90 ,26.90 ,26.90 ,2.30 ,2.30 ,2.30 ,2.30 ,2.30, NA, NA, NA, 21.407,21.326,21.326,21.326,21.785
1, 14, 106.84, 202.07 ,76.10 ,76.10 ,76.10 ,76.10 ,76.10 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,26.90 ,27.17 ,26.90 ,26.90 ,26.90 ,2.30 ,2.30 ,2.30 ,2.30 ,2.30 ,26.90 ,26.90 ,26.90 ,26.90 ,26.90 ,2.30 ,2.30 ,2.30 ,2.30 ,2.30, NA, NA, NA, 21.359,21.374,21.326,21.326,21.785
1, 15, 106.84, 202.07 ,76.10 ,76.10 ,76.10 ,76.10 ,76.10 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,26.90 ,26.90 ,27.17 ,26.90 ,26.90 ,2.30 ,2.30 ,2.30 ,2.30 ,2.30 ,26.90 ,26.90 ,26.90 ,26.90 ,26.90 ,2.30 ,2.30 ,2.30 ,2.30 ,2.30, NA, NA, NA, 21.359,21.326,21.374,21.326,21.785
1, 16, 106.84, 202.07 ,76.10 ,76.10 ,76.10 ,76.10 ,76.10 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,26.90 ,26.90 ,26.90 ,27.17 ,26.90 ,2.30 ,2.30 ,2.30 ,2.30 ,2.30 ,26.90 ,26.90 ,26.90 ,26.90 ,26.90 ,2.30 ,2.30 ,2.30 ,2.30 ,2.30, NA, NA, NA, 21.359,21.326,21.326,21.374,21.785
1, 17, 106.84, 202.07 ,76.10 ,76.10 ,76.10 ,76.10 ,76.10 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,26.90 ,26.90 ,26.90 ,26.90 ,27.17 ,2.30 ,2.30 ,2.30 ,2.30 ,2.30 ,26.90 ,26.90 ,26.90 ,26.90 ,26.90 ,2.30 ,2.30 ,2.30 ,2.30 ,2.30, NA, NA, NA, 21.359,21.326,21.326,21.326,21.833
1, 18, 106.83, 202.07 ,76.10 ,76.10 ,76.10 ,76.10 ,76.10 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,26.90 ,26.90 ,26.90 ,26.90 ,26.90 ,2.32 ,2.30 ,2.30 ,2.30 ,2.30 ,26.90 ,26.90 ,26.90 ,26.90 ,26.90 ,2.30 ,2.30 ,2.30 ,2.30 ,2.30, NA, NA, NA, 21.398,21.326,21.326,21.326,21.785
